Quale articolo del D.Lgs 195/2008 disciplina i poteri di accertamento e di contestazione?;a) art 3;b) art 7;c) art 4;d) art 9;3
Dove confluiscono le banconote e le monete sottoposte a sequestro amministrativo nel corso dei controlli transfrontalieri di valuta ai sensi del Decreto Legislativo n 195/2008?;a) nel Fondo Unico Giustizia, istituito dall'art 30 del D.L. n 112/2008 convertito nella Legge n 133/2008;b) presso le Sezioni di Tesoreria Provinciale dello Stato Competente territorialmente;c) nel Fondo Unico Giustizia, istituito dall'art 61 del D.L. n 112/2008 convertito nella Legge n 133/2008;d) su un conto corrente postale intestato alla Tesoreria Centrale dello Stato;3
Tra le competenze dell'Agenzia delle Dogane e dei Monopoli rientra quella di trasmettere i verbali di contestazione redatti all'interno e all'esterno degli spazi doganali al Ministero delle Economie e delle Finanze?;a) no;b) solo nel caso in cui si superi la soglia dei 200.000 euro;c) si;d) solo nel caso in cui si superi la soglia di 50.000 euro;3
Ai sensi del Decreto 195/2008, l'Agenzia delle Dogane e dei Monopoli e la GdF possono scambiare le informazioni raccolte nell'ambito del sistema di prevenzione ai fini valutari, con le omologhe Autorità di altri Stati terzi?;a) No, in nessun caso;b) Sì, nel quadro della mutua assistenza amministrativa, comunicando al Ministero dell'Economia e delle Finanze che provvede a notiziare il Consiglio d'Europa;c) Sì, nel quadro della mutua assistenza amministrativa, comunicando al Ministero dell'Economia e delle Finanze che provvede a notiziare la Commissione Europea;d) Sì, sempre e direttamente;3
Chi non intende avvalersi della facoltà di effettuare il pagamento in misura ridotta secondo quanto indicato all'art. 9 del D.Lgs. n. 195/2008.;a) deve presentare scritti difensivi al Ministero dell'Economia e delle Finanze e chiedere di essere sentito, entro il termine di quindici giorni dalla data di ricezione dell'atto di contestazione;b) può presentare scritti difensivi al Ministero dell'Economia e delle Finanze, nonché chiedere di essere sentito, entro il termine di quindici giorni dalla data di ricezione dell'atto di contestazione;c) deve presentare scritti difensivi al Ministero dell'Economia e delle Finanze e chiedere di essere sentito, entro il termine di trenta giorni dalla data di ricezione dell'atto di contestazione;d) può presentare scritti difensivi al Ministero dell'Economia e delle Finanze, nonché chiedere di essere sentito, entro il termine di trenta giorni dalla data di ricezione dell'atto di contestazione;4
In base a quanto stabilito dal Regolamento (CE) n. 1889/2005 a cosa corrispondono: le generalità complete del dichiarante, il proprietario del denaro contante, il destinatario del denaro contante?;"a) agli elementi da elencare nel verbale di
constatazione";b) agli elementi sufficienti che devono essere specificati nella dichiarazione;c) a nulla;d) ad alcuni tra gli elementi essenziali che devono essere specificati nella dichiarazione;4
La dichiarazione transfrontaliera di valuta può essere:;a) trasmessa solo telematicamente, prima dell'attraversamento della frontiera;"b) trasmessa
telematicamente, prima dell'attraversamento della frontiera oppure consegnata, in forma scritta, al momento del passaggio, presso gli uffici doganali di confine e limitrofi";"c) consegnata
esclusivamente in forma scritta, al momento del passaggio, presso gli uffici doganali di confine e limitrofi";d) spedita al Ministero dell'Economia e delle Finanze;2
La disciplina comunitaria di riferimento in materia di circolazione transfrontaliera di valuta è costituita:La disciplina comunitaria di riferimento in materia di circolazione transfrontaliera di valuta è costituita:;a) al D.Lgs. 68/2001;b) dal Regolamento comunitario n. 1889/2005 del 26.10.2005;c) dal decreto legge 195/2008;d) dal Regolamento n. 765/2008;2
In quali contesti i militari del Corpo, impegnati nei controlli finalizzati al riscontro della regolare presentazione della dichiarazione valutaria, possono esercitare direttamente ispezioni e controlli sui mezzi di trasporto?;a) Anche all'interno degli spazi doganali quando, in collaborazione con i funzionari dell'Agenzia delle Dogane, ai sensi dell'art. 19 del T.U.L.D., effettuano controlli in materia doganale;b) Sempre, senza alcuna limitazione, sia all'interno che all'esterno degli spazi doganali;c) Anche all'interno degli spazi doganali quando, su ordine di servizio firmato dal Comandante del Reparto o da un suo delegato, con i poteri di cui al D.Lgs. 68/2001, effettuano controlli in materia di circolazione transfrontaliera di capitali;d) Solo quando i controlli avvengono al di fuori degli spazi doganali;4
"Dall'1 gennaio 2009, quale Organo è depositario delle dichiarazioni valutarie ex art. 3 del decreto 195/2008 presentate dalle persone fisiche che hanno trasferito ""denaro contante"" per importi pari o superiori a 10.000 euro?";"a) L'Agenzia delle Dogane
e dei Monopoli";b) L'U.I.F;c) Il Ministero dell'Economia e delle Finanze;d) La Guardia di finanza;1
Ai sensi del D.lgs 195/2008, la Guardia di finanza è l'unico soggetto preposto all'accertamento ed alla contestazione delle violazioni all'obbligo di dichiarazione valutaria?;a) No, anche il Comitato di Sicurezza finanziaria;b) No, anche l'U.I.C;c) Sì;d) No, anche l'agenzia delle dogane e dei Monopoli;4
"E' possibile presentare al Ministero dell'Economia e delle Finanze opposizione per i sequestri effettuati per le violazioni previste dall'art 3 D.Lgs
195/2008?";"a) Si, se vi sono le
condizioni e non oltre i 30 giorni";b) No, in nessun caso;c) Si, entro 10 giorni;d) Si, entro 60 giorni;3
L'articolo 3 del Decreto Legislativo n. 195/2008 disciplina:;a) i poteri di contestazione;b) i poteri di accertamento;c) la relazione annuale;d) l'obbligo di dichiarazione;4
Il D.Lgs. n. 195/2008, all'art. 6, prevede che qualora vengano violate le disposizioni riguardanti l'obbligo di dichiarazione:;"a) il denaro contante trasferito o che si tenta di trasferire, di importo pari
osuperiore a 15.000 euro,
è sequestrato solo attraverso uno specifico atto dell'Agenzia delle Dogane dando priorità alle banconote e monete aventi corso legale e, nei casi di mancanza o incapienza, per strumenti negoziabili al portatore di facile e pronto realizzo.";"b) il denaro contante trasferito o che si tenta di trasferire, di importo pari
osuperiore a 20.000 euro,
è sequestrato con atto congiunto dell'Agenzia delle Dogane e della Guardia di Finanza dando priorità alle banconote e monete aventi corso legale e, nei casi di mancanza o incapienza, per strumenti negoziabili al portatore di facile e pronto realizzo.";"c) il denaro contante trasferito o che si tenta di trasferire, di importo pari
osuperiore a 10.000 euro,
è sequestrato dall'Agenzia delle Dogane e dei monopoli o dalla Guardia di Finanza dando priorità alle banconote e monete aventi corso legale e, nei casi di mancanza o incapienza, per strumenti negoziabili al portatore di facile e pronto realizzo.";"d) il denaro contante trasferito o che si tenta di trasferire, di importo pari
osuperiore a 10.000 euro, possa essere sequestrato dall'Agenzia delle Dogane
odalla Guardia di Finanza";3
In virtù dell'art. 5 comma 1 del D.Lgs. 195/2008 la Guardia di Finanza e l'Agenzia delle dogane e dei Monopoli procedono allo scambio delle informazioni qualora:;"a) esclusivamente
emergano situazioni da cui si evinca che le somme di denaro sono connesse al finanziamento al terrorismo";b) emergano fatti e situazioni da cui si evinca che somme di denaro contante sono connesse ad attivita' di riciclaggio e di finanziamento del terrorismo;c) rientra nel quadro di mutua assistenza amministrativa;d) in nessun caso;2
Nell'ipotesi di dichiarazione relativa al trasporto di denaro contante di importo pari o superiore a 10.000 euro trasmessa telematicamente ai sensi dell'art. 3 del Decreto legislativo n. 195/2008:;a) il dichiarante non deve recare al seguito copia della dichiarazione, ma esclusivamente il numero di registrazione attribuito dal sistema telematico doganale;b) il dichiarante non necessità di portare al seguito la copia della dichiarazione, ma è sufficiente che fornisca i propri dati identificativi;c) il dichiarante deve comunque recare al seguito copia della dichiarazione;d) il dichiarante deve recare al seguito copia della dichiarazione e il numero di registrazione attribuito dal sistema telematico doganale;4
"Per quanto concerne lo scambio di informazioni previsto dal Regolamento (CE) n. 1889/2005, qualora gli indizi indichino che determinate somme di denaro contante in entrata o in uscita dalla Comunità europea sono connesse ad attività
illecite :";a) solo le informazioni ottenute attraverso la dichiarazione di cui all'art. 3 del citato Regolamento possono essere trasmesse alle Autorità competenti di altri Stati membri;b) le informazioni ottenute attraverso la dichiarazione di cui all'art. 3 e i controlli di cui all'art. 4 del citato Regolamento possono essere trasmesse alle Autorità competenti di altri Stati membri;c) le informazioni ottenute attraverso la dichiarazione di cui all'art. 3 e i controlli di cui all'art. 4 del citato Regolamento devono essere trasmesse alle Autorità competenti di altri Stati membri;d) solo le informazioni ottenute attraverso i controlli di cui all'art. 4 del citato Regolamento possono essere trasmesse alle Autorità competenti di altri Stati membri;2
La disciplina relativa ai movimenti transfrontalieridi denaro contante si applica:;a) sia per i passaggiintracomunitari di personedirette dall'Italia verso unaltro Paese dell'Unioneeuropea e viceversa, sia per quelli extracomunitari dei soggetti che varcano la frontiera nazionale da e verso Paesi non appartenenti allaComunità europea;b) solo per i passaggiintracomunitari di personedirette dall'Italia verso unaltro Paese dell'Unioneeuropea e viceversa;c) sia per i passaggiintracomunitari di personedirette dall'Italia verso unaltro Paese dell'Unioneeuropea, sia per quelli extracomunitari dei soggetti che varcano la frontiera nazionale verso Paesi non appartenenti alla Comunità europea;d) solo per i passaggiextracomunitari deisoggetti che varcano lafrontiera nazionale da everso Paesi non appartenenti alla Comunità europea;1
Ai sensi del decreto Legislativo 195/2008, chi si occupa della trasmissione, al Ministero dell'Economia e delle Finanze, dei verbali di contestazione redatti all'interno ed all'esterno degli spazi doganali?;a) La Guardia di Finanza o l'Agenzia delle Dogane a seconda che la violazione sia stata accertata e contestata, rispettivamente al di fuori o all'interno degli spazi doganali;b) L'Agenzia delle Dogane e dei Monopoli;c) La Guardia di Finanza;d) La Guardia di Finanza o l'Agenzia delle Dogane a seconda di chi abbia proceduto all'accertamento ed alla contestazione della violazione;2
