Il Ministro dell'Economia e delle Finanze con ildecreto di cui all'art. 4 del D.Lgs. 109 del 2007dispone:;"a) La confisca persproporzione dei proventidel reato di finanziamento al terrorismo;";"b) Il sequestro perequivalente dei proventidelle attività illecite riconducibili al terrorismo;";"c) Il sequestro probatoriodelle tracce e delle cosepertinenti ai reati prepetrati dai gruppi fondamentalisti con l'uso delle armi;";"d) Il congelamento deifondi e delle risorseeconomiche detenute, anche per interposta persona fisica o giuridica, da persone fisiche, giuridiche, gruppi o entità, designati, secondo i criteri e le procedure stabiliti dalle risoluzioni adottate dal Consiglio di Sicurezza delle Nazioni Unite, ai sensi del Capitolo VII delloStatuto delle NazioniUnite, dallo stessoConsiglio, con altre modalità, ovvero da un suoComitato;";4
Il provvedimento dell'Agenzia del Demanio chedispone la vendita delle risorse economiche permancata presentazione dell'avente diritto a riceverlein consegna:;"a) Ha contenuto riservatoed è conoscibile soloattraverso l'accesso agliatti;";"b) È comunicato all'aventediritto ed è trasmesso, perestratto, ai competentiuffici, ai fini della trascrizione nei pubblici registri, ai sensi dell'art. 12 comma 16 del D. Lgs.109/2007;";"c) È qualificabile come attosensibile e quindi perprenderne visione c'èbisogno del nulla osta di sicurezza;";"d) Viene comunicato aicittadini attraversol'affissione all'albocomunale;";2
Qualora i beni sequestrati o confiscati nel processo penale siano altresì sottoposti alla misura del congelamento ai sensi del D.Lgs. 22 giugno 2007 n. 109, a chi spetta la gestione degli stessi?;"a) Al Questore;";"b) Al Prefetto;";"c) Al Comitato Esecutivo;";"d) Al giudice penale, in costanza delle misure cautelari patrimoniali, ovvero all'Agenzia delDemanio, allorquando dette misure vengano revocate, in ossequio al principio stabilito dallaSentenza nr. 3718 del27/01/2009 della Corte diCassazione - I SezionePenale;";4
Ai sensi dell'art. 4-quater del D.Lgs. 109 del 2007 il Comitato di Sicurezza Finanziaria nella proposta di inserimento dei soggetti nelle liste degli individui da sottoporre alle misure di contrasto del terrorismo, deve tenere conto dell'esistenza di un procedimento penale a carico dei medesimi?;"a) No, di solito si tratta di un elemento irrilevante;";"b) Si, quando si tratta di delitti non colposi;";"c) Si, quando si tratta di contravvenzioni;";"d) Si, sempre;";4
L'art. 11 del D.Lgs. 109 del 2007 definisce:;"a) La competenza
territoriale della Direzione Centrale della Polizia di Prevenzione;";"b) I compiti istituzionali del Nucleo Speciale di Polizia Valutaria della Guardia di Finanza;";"c) L'organigramma del Raggruppamento Operativo Speciale dell'Arma dei Carabinieri;";"d) Le attribuzioni demandate al Nucleo Speciale di Polizia Valutaria della Guardia di Finanza per il contrasto del finanziamento del terrorismo;";4
Cosa accade nel caso in cui i medesimi fondi e risorse economiche siano oggetto, al contempo, del congelamento e dei provvedimenti di sequestro o confisca, adottati nell'ambito di procedimenti penali o amministrativi?;"a) Stante la presenza del congelamento si estingue, in automatico, l'altro procedimento;";"b) Si disapplica l'altra forma di aggressione patrimoniale essendo incompatibile con il congelamento;";"c) Il congelamento non pregiudica gli effetti degli altri provvedimenti di aggressione patrimoniale, ai sensi dell'art. 5 comma 7 del D.Lgs. 109 del 2007;";"d) Si verifica una riunione tra procedimenti ove vengono trattati, congiuntamente, entrambi i provvedimenti;";3
Ai sensi dell'art. 11 comma 1 del D.Lgs. 109 del 2007 le attribuzioni demandate al Nucleo speciale di polizia valutaria della Guardia di finanza, per la prevenzione dell'uso del sistema finanziario a scopo di riciclaggio, sono esercitate anche per:;"a) La prevenzione del traffico di stupefacenti;";"b) Il contrasto al traffico di armi;";"c) Il contrasto del finanziamento del terrorismo e del finanziamento della proliferazione e per l'attuazione delle sanzioni finanziarie adottate dall'Unione europea, ovvero dagli organismi internazionali, nei casi di cui agli articoli 4 e 4-ter, ovvero con decreto del Ministro dell'economia e delle finanze nei casi di cui all'articolo 4-bis;";"d) La lotta
all'immigrazione clandestina;";3
Il compenso del custode in ossequio a quanto previsto dall'art. 12 comma 9 secondo periodo del D.Lgs. 109 del 2007 è stabilito:;"a) Dall'Agenzia del demanio, sentito il Comitato di Sicurezza Finanziaria, tenuto conto dell'opera prestata, delle tariffe professionali o locali e degli usi;";"b) Dal Ministero dell'Economia e delle Finanze;";"c) Dal Consiglio della magistratura militare;";"d) Dall' Autorità Garante della Concorrenza e del Mercato;";1
Dalla cessazione delle misure di congelamento e fino alla consegna delle risorse economiche all'avente diritto l'Agenzia del Demanio provvede:;"a) Alla gestione delle medesime con le modalità di cui all'art. 12 comma 13 del D. Lgs. 109 del 2007;";"b) All'utilizzo temporaneo delle stesse;";"c) All'affidamento ai privati delle medesime osservando procedure ad evidenza pubblica;";"d) Alla mera conservazione stesse all'interno di locali in uso all'Agenzia delle Entrate e del Territorio;";1
Il decreto che irroga le sanzioni, in materia di finanziamento del terrorismo, ai sensi art. 13-bis del D.Lgs. 109 del 2007 viene:;"a) Pubblicato senza ritardo e per estratto, su apposita sezione del sito web del Ministero dell'Economia e delle finanze ovvero delle autorità di vigilanza di settore, nei casi di recidiva nelle violazioni;";"b) Trascritto sui registri tenuti dalla Camera di Commercio ove risiede il trasgressore;";"c) Pubblicato sull'albo pretorio del comune ove dimora abitualmente il trasgressore;";"d) Trascritto sui pubblici registri dell'Agenzia delle Dogane e dei Monopoli;";1
La Corte di Giustizia dell'Unione Europea con Sentenza nr. c-753/21 e nr. c-754/21 del 15.12.2022 statuisce:;"a) La possibilità di applicare il congelamento ai soli beni immobili;";"b) La rilevanza penale del congelamento delle risorse economiche;";"c) L'applicabilità delle sole sanzioni amministrative per il congelamento dei beni;";"d) La natura cautelare del congelamento degli assets, chiarendo che lo stesso produce il mero effetto di cristallizzare il patrimonio del destinatario e di impedire che si verifichino alterazioni dello stesso;";4
Ai sensi dell'art. Art. 4-quinquies del D.Lgs. 109 del 2007:;"a) Il Nucleo Speciale di Polizia Valutaria della G.d.F. accede, con cadenza mensile, alla banca dati sistema SIVA2 per controllare le posizioni dei sospettati di terrorismo;";"b) Il Comitato di Sicurezza Finanziaria riesamina periodicamente la posizione dei soggetti inseriti nelle liste internazionali, comunitarie e nazionali delle persone da sottoporre alle misure di contrasto del terrorismo;";"c) Le Procure della Repubblica accedono, con cadenza triennale, al registro degli indagati per reati di sovversione dell'ordine democratico;";"d) L'Agenzia delle Entrate controlla, con cadenza annuale, le dichiarazioni fiscali dei fondamentalisti islamici;";2
A quale Autorità compete la determinazione della somma dovuta per le violazioni di cui all' art.13- quater del D. Lgs. 109 del 2007?;"a) Al Ministero delle Imprese e del Made in Italy;";"b) Al Ministero dell'Economia e delle Finanze, ai sensi dell'art.13-quater del D. Lgs. 109/2007;";"c) Alla Prefettura
competente per territorio;";"d) Al Ministero degli Affari Regionali e Autonomie;";2
L'attuazione delle misure di congelamento dei beni per il contrasto al terrorismo è affidata a livello nazionale:;"a) Al Comitato di Sicurezza Finanziaria istituito presso il Ministero dell'Economia e delle Finanze;";"b) All'Ente Nazionale per il Microcredito;";"c) Alla Banca d'Italia;";"d) Al Comitato
Interministeriale per il Credito ed il Risparmio;";1
Se l'associazione finalizzata al traffico illecito di sostanze stupefacenti o psicotrope è composta da soggetti che hanno la disponibilità di armi, o materie esplodenti, la stessa si considera:;"a) Idonea a recare nocumento alle istituzioni della Repubblica Italiana;";"b) Costituita per finalità di eversione o di terrorismo;";"c) Sovversiva dell'ordine politico e sociale dello Stato;";"d) Armata ed opera un aumento della pena della reclusione prevista dall'art. 74 comma 4 del D.P.R. 309 del 1990;";4
Quale ipotesi disciplina l'art. 75 del D.P.R. 309 del 1990?;"a) Il coordinamento delle Forze di Polizia impegnate nelle attività di contrasto allo spaccio di droghe;";"b) Quella delle condotte integranti gli illeciti amministrativi in materia di sostanze stupefacenti o psicotrope;";"c) Le sanzioni irrogate nei confronti delle bande armate che perseguono il fine del traffico di sostanze stupefacenti o psicotrope;";"d) Il contributo offerto dalla Guardia di Finanza nel contrasto ai traffici illeciti in materia di anabolizzanti;";2
L'art. 80 comma 1 del D.P.R. 309 del 1990 prevede che al ricorrere delle circostanze ivi previste:;"a) Ricorra la messa alla prova per l'autore del reato di spaccio di sostanze stupefacenti;";"b) Si registri la
diminuzione delle pene;";"c) Si determini l'estinzione del reato per remissione della querela;";"d) Si verifichi l'aumento delle pene, da un terzo alla metà, per i delitti di cui all'articolo 73;";4
Quale ipotesi disciplina l'art. 82 comma 3 del D.P.R. 309 del 1990?;"a) Vendita di farmaci scaduti;";"b) Uso personale di anabolizzanti da parte di persone affette da infermità psichica;";"c) Istigazione, proselitismo
e induzione all'uso illecito di sostanze stupefacenti o psicotrope di persona minore;";"d) Traffico di medicinali contraffatti;";3
Se il reato di cui all'art. 82 comma 1 del D.P.R. 309 del 1990 è commesso nei confronti di persona palesemente incapace:;"a) Il reato è estinto per inabilità della vittima;";"b) La pena è dimezzata;";"c) La pena è raddoppiata,
ai sensi dell'art. 82 comma
3 del D.P.R. 309 del 1990;";"d) La sanzione può essere convertiva nei lavori di pubblica utilità;";3
La Tabella II di cui al D.P.R. 309 del 1990 riguarda:;"a) La cocaina;";"b) L'hashish;";"c) La cannabis e i suoi derivati;";"d) Il tabacco lavorato estero;";3
Dove sono collocate le tabelle dei medicinali di cui al D.P.R. 309 del 1990?;"a) Nel codice del processo amministrativo;";"b) Nel codice di procedura penale;";"c) Nel codice penale;";"d) Nella parte finale del testo unico delle leggi in materia di disciplina degli stupefacenti e sostanze psicotrope;";4
Gli ufficiali e gli agenti di polizia giudiziaria quando procedono al controllo, alle ispezioni e alle perquisizioni, ai sensi dell'art. 103 commi 2 e 3 del D.P.R. 309 del 1990:;"a) Sono tenuti a rilasciare immediatamente all'interessato copia del verbale di esito dell'atto compiuto;";"b) Non devono rilasciare copia dell'atto al destinatario;";"c) Possono rilasciare l'atto, in originale, all'interessato;";"d) Non devono redigere alcun verbale delle operazioni compiute;";1
Chiunque intenda coltivare, produrre, fabbricare, impiegare, importare, esportare, ricevere per transito, commerciare a qualsiasi titolo o comunque detenere per il commercio sostanze stupefacenti o psicotrope deve:;"a) Ottenere il parere vincolante della Corte di Giustizia Europea;";"b) Essere autorizzato dall'Autorità Giudiziaria competente per territorio;";"c) Munirsi
dell'autorizzazione del Ministero della sanità, ai sensi dell'art. 17 comma 1 del D.P.R. 309 del 1990;";"d) Ottenere la concessione del Ministero delle Politiche Agricole, Alimentari e Forestali;";3
I decreti di autorizzazione del Ministero dell'Interno, di cui all'art. 17 comma 6 del D.P.R. 309 del 1990, vengono comunicati:;"a) Al Ministero del Lavoro
e delle Politiche Sociali;";"b) Al Ministero dell'Ambiente e della Sicurezza Energetica;";"c) Al Ministero delle Infrastrutture;";"d) Al Dipartimento di Pubblica Sicurezza dello stesso Dicastero, al Comando Generale della Guardia di Finanza e al Comando Generale dell'Arma dei Carabinieri, ai sensi dell'art. 18 comma 1 del D.P.R. 309 del 1990;";4
Qual è l'Autorità che irroga la sanzione di cui all'art. 75 comma 1 del D.P.R. 309 del 1990?;"a) Il Procuratore della Repubblica;";"b) Il Giudice di Pace;";"c) Il Prefetto competente per territorio in relazione al luogo di residenza o, in mancanza, di domicilio dell'interessato e, ove questi siano sconosciuti, in relazione al luogo ove è stato commesso il fatto, ai sensi dell'art. 75 comma 13 del D.P.R. 309 del 1990;";"d) Il Giudice Penale in composizione monocratica;";3
La detenzione di sostanze stupefacenti o psicotrope in modiche quantità, per uso personale, costituisce in linea di principio:;"a) Illecito disciplinare;";"b) Reato militare;";"c) Illecito amministrativo, ai sensi dell'art. 75 del D.P.R. 309 del 1990;";"d) Delitto non colposo;";3
La coltivazione non autorizzata di piante dalle quali siano estraibili sostanze stupefacenti:;"a) Non può mai essere qualificabile come reato;";"b) Può essere configurabile come reato, anche se non finalizzata allo spaccio, giusta Sentenza nr. 9984 del 2000 della Corte di Cassazione - IV Sezione Penale;";"c) Costituisce illecito amministrativo;";"d) Rappresenta un'fenomeno distorsivo della libera concorrenza nel mercato di riferimento;";2
Quando l'associazione finalizzata al traffico illecito di sostanze stupefacenti o psicotrope si considera armata?;"a) Quando i partecipanti hanno la disponibilità di armi o materie esplodenti, anche se occultate o tenute in luogo di deposito, ai sensi dell'art. 74 comma 4 secondo periodo del D.P.R. 309 del 1990;";"b) Quando i membri si avvalgono della forza intimidatrice di cui all'art. 416-bis C.P.;";"c) Quando i partecipanti condividono un'ideologia terroristica;";"d) Quando gli aspiranti eseguono fedelmente le direttive violente ed estreme dei promotori;";1
L'elenco aggiornato degli enti e delle imprese autorizzati alla coltivazione e produzione di sostanze stupefacenti o psicotrope ai sensi dell'art. 16 comma 1 del D.P.R. 309 del 1990:;"a) È pubblicato
annualmente, a cura del Ministero della Sanità nella Gazzetta Ufficiale della Repubblica Italiana;";"b) È pubblicato a cura della Camera di Commercio di Roma;";"c) È predisposto
dall'Ufficio di Gabinetto del Ministro dell'Economia e delle Finanze;";"d) È presente sul portale on line del Ministero del Turismo;";1
L'articolo 14 del D.P.R. 309 del 1990 individua:;"a) I requisiti per la
classificazione dei tabacchi lavorati esteri;";"b) I criteri per la formazione delle tabelle delle sostanze psicotrope o stupefacenti e dei medicinali;";"c) Le caratteristiche dei materiali tessili nocivi;";"d) I connotati dei prodotti pericolosi ai sensi del Codice del Consumo;";2
I procedimenti per il delitto di associazione finalizzato allo spaccio di sostanze stupefacenti di lieve entità, di cui all'art. 74 comma 6 del D.P.R. 309 del 1990:;"a) Sono rimessi alla cognizione del Giudice Amministrativo;";"b) Devono essere
obbligatoriamente trattati dinanzi al Giudice di Pace;";"c) Possono essere definiti con applicazione della pena su richiesta delle parti, giusta Sentenza nr. 42639 del 2007 della Corte di Cassazione - VI Sezione Penale;";"d) Devono essere definiti con citazione diretta a giudizio;";3
Alle riunioni del Comitato Nazionale di Coordinamento per l'Azione Antidroga:;"a) Possono essere chiamati a partecipare altri Ministri in relazione agli argomenti da trattare, ai sensi dell'art. 1 comma 4 del D.P.R. 309 del 1990;";"b) Non possono partecipare i Ministri degli Affari Esteri e dell'Interno;";"c) Partecipano, in qualità di componenti di diritto, i Ministri del Turismo e della Cultura;";"d) Partecipano
esclusivamente i Direttori dell'A.I.S.I. e dell'A.I.S.E.;";1
Ai fini della punibilità della coltivazione non autorizzata di piante dalle quali sono estraibili sostanze stupefacenti:;"a) Spetta al Ministro delle Politiche Agricole, Alimentari e Forestali procedere all'analisi tecnica del materiale ricavato dalla azione illecita;";"b) Spetta al Questore competente per territorio valutare la punibilità della condotta;";"c) Spetta al Prefetto della Provincia di residenza del trasgressore accertare la possibile violazione;";"d) Spetta al Giudice Penale verificare in concreto l'offensività della condotta ovvero l'idoneità del materiale ricavato a produrre un effetto drogante rilevabile, giusta Sentenza nr. 28605 del 2008 della Corte di Cassazione - Sezioni Unite;";4
L'organizzatore dell'associazione finalizzata allo spaccio di sostanze stupefacenti di lieve entità, di cui all'art. 74 comma 1 del D.P.R. 309 del 1990, è individuato:;"a) Dal Ministero dell'Interno, con atti amministrativi trasmessi al Dipartimento di Pubblica Sicurezza;";"b) Dal Ministero della Salute con propri D.P.C.M.;";"c) Dalla giurisprudenza di legittimità in colui il quale assume poteri di gestione, giusta Sentenza nr. 52137 del 2017 della Corte di Cassazione - IV Sezione Penale, e coordina l'attività degli associati ed assicura la funzionalità delle strutture nelle quali il sodalizio si articola, giusta Sentenza nr. 40348 del 2016, della Corte di Cassazione - III Sezione Penale;";"d) Dalla Guardia di Finanza, nelle circolari in uso al Corpo;";3
La vigilanza agli impianti autorizzati alla coltivazione ed alla fabbricazione di sostanze stupefacenti o psicotrope, è esercitata dal Ministero della Sanità mediante:;"a) Ispezioni ordinarie e straordinarie, ai sensi dell'art. 6 comma 2 del D.P.R. 309 del 1990;";"b) Perquisizioni ai sensi dell'art. 247 c.p.p.;";"c) Ispezioni ai sensi dell'art. 244 c.p.p.;";"d) Accessi ai dell'art. 16 del T.U.L.P.S.;";1
Per l'esecuzione degli eventuali controlli analitici il Servizio Centrale per le dipendenze da alcoole sostanze stupefacenti o psicotrope si avvale:;"a) Delle strutture private;";"b) Dei laboratori dell'Istituto Superiore di Sanità o di Istituti Universitari, a ai sensi dell'art. 3 comma 3 del D.P.R. 309 del 1990;";"c) Del Raggruppamento Investigazioni Scientifiche dell'Arma dei Carabinieri;";"d) Delle Sezioni di Polizia Giudiziaria;";2
La prescrizione medica di farmaci, contenenti principi attivi vietati, quando non sia funzionale alle necessità di cura riferite alle particolari condizioni patologiche del paziente:;"a) Costituisce un illecito civile;";"b) Costituisce una
violazione amministrativa;";"c) Rappresenta una circostanza attenuante del reato di spaccio di stupefacenti;";"d) Integra il reato di cui all'art. 83 del D.P.R. 309 del 1990, giusta Sentenza nr. 37522 del 2021 della Corte di Cassazione - VI Sezione Penale;";4
Gli organici della Direzione Centrale per i Servizi Antidroga si contraddistinguono per la presenza di personale:;"a) Delle Banche Centrali;";"b) Degli Istituti Nazionali di Previdenza Sociale e di Assicurazione Infortuni sul Lavoro;";"c) Della Polizia di Stato, dell'Arma dei Carabinieri
e della Guardia di Finanza, nonché da personale appartenente all'Amministrazione civile dell'Interno;";"d) Delle società in house degli enti locali;";3
La Direzione Centrale per i Servizi Antidroga è istituita presso:;"a) L'Ispettorato Nazionale del Lavoro;";"b) Il Dipartimento del Tesoro del Ministero dell'Economia e delle Finanze;";"c) Il Consiglio Nazionale delle Ricerche;";"d) Il Dipartimento della
Pubblica Sicurezza del
Ministero dell'Interno;";4
In tema di coltivazione di cannabis, la mera qualificazione di agricoltore del soggetto:;"a) Rende sempre lecita l'attività;";"b) Non rende lecita l'attività, giusta Sentenza nr. 40053 del 2022 della Corte di Cassazione - VI Sezione Penale;";"c) Rende lecita l'attività soltanto al ricorrere di particolari circostanze;";"d) Rende parzialmente lecita l'attività;";2
L'acquirente di modiche quantità di sostanza stupefacente nei cui confronti non siano emersi elementi indizianti di uso non personale deve essere sentito nel corso delle indagini preliminari:;"a) Come imputato;";"b) Come persona informata dei fatti, giusta Sentenza nr. 40586 del 2008 della Corte di Cassazione - VI Sezione Penale;";"c) Come indagato;";"d) Come persona sottoposta alle indagini;";2
Il Ministro della sanità, nel concedere l'autorizzazione di cui all'art. 17 comma 1 del D.P.R. 309 del 1990, determina, caso per caso, le condizioni e le garanzie alle quali essa è subordinata sentito:;"a) Il Ministero delle Imprese e del Made in Italy;";"b) Il Comando Generale dell'Arma dei Carabinieri;";"c) La Questura di Roma;";"d) Il Comando Generale della Guardia di finanza, ai sensi dell'art. 17 comma 5 del D.P.R. 309 del 1990, nonché', quando trattasi di coltivazione, il Ministero dell'agricoltura e delle foreste.;";4
La relazione redatta dal Nucleo Speciale di Polizia Valutaria della Guardia di Finanza ai sensi dell'art. 11 comma 2 del D.Lgs. 109 del 2007 è trasmessa:;"a) Alla Banca Centrale Europea;";"b) Alla Banca d'Italia;";"c) Al Comitato,
all'Agenzia del demanio e all'Ufficio Italiano Cambi;";"d) Alla Federal Reserve;";3
Il Ministero della Sanità per l'esercizio del controllo e della vigilanza, di cui all'art. 5 del D.P.R. 309 del 1990, si avvale:;"a) Di norma dei nuclei specializzati dell'Amministrazione della Pubblica Sicurezza, della Guardia di Finanza, dell'Arma dei Carabinieri e, nei casi urgenti, di qualsiasi ufficiale e agente della forza pubblica;";"b) Dell'Archivio di Stato;";"c) Dell'Agenzia Nazionale di Valutazione del Sistema Universitario e della Ricerca;";"d) Delle Autorità italiane di vigilanza sui mercati finanziari;";1
Da chi è composto il Comitato di Sicurezza Finanziaria?;"a) Da 10 membri, di cui 2 magistrati ed 8 Professori Universitari;";"b) Da 15 membri e dai rispettivi supplenti, ai sensi dell'art. 3 comma 2 del D.Lgs. 109 del 2007;";"c) Da 5 membri, tutti esperti di materie giuridiche ed economiche;";"d) Da 3 membri, tutti magistrati togati;";2
In caso di mancata presentazione dell'avente diritto per la restituzione della consegna delle risorse economiche di cui è stata disposta la restituzione come procede l'Agenzia del Demanio?;"a) Provvede alla vendita delle stesse ai sensi dell'art. 12 comma 14 primo periodo del D.Lgs. 109 del 2007;";"b) Conserva le medesime al massimo per un triennio;";"c) Utilizza le stesse per le proprie finalità istituzionali;";"d) Investe le medesime sui mercati finanziari per percepirne i frutti;";1
Da chi è presieduto il Comitato di Sicurezza Finanziaria?;"a) Dal Direttore generale del tesoro o da un suo delegato, ai sensi dell'art. 3 comma 2 del D.Lgs. 109 del 2007;";"b) Dal Presidente della Corte d'Appello di Roma;";"c) Dal Presidente del Tribunale di Milano;";"d) Dal Procura Generale presso la Corte di Cassazione;";1
Il Comitato di Sicurezza Finanziaria può formulare alle competenti autorità internazionali delle Nazioni unite e dell'Unione europea, proposte di designazione di individui o entità da inserire nelle liste delle persone da sottoporre alle misure di contrasto del terrorismo?;"a) Si, ma soltanto nei confronti dei soggetti gravati da profili di pericolosità sociale;";"b) Si, ma soltanto fino ad un massimo di 300 individui per ogni anno;";"c) No, poiché questa iniziativa svilirebbe l'attività svolta dallo Stato ove dimora abitualmente l'eventuale proposto;";"d) Si, sulla base delle informazioni fornite da autorità internazionali e Stati esteri, ovvero altrimenti acquisite, ai sensi dell'art. 4 ter del D.Lgs. 109 del 2007;";4
La distruzione delle sostanze stupefacenti e psicotrope, nei casi previsti dagli articoli ai sensi 23 e 24 D.P.R. 309 del 1990, è disposta con:;"a) Provvedimento del Ministro dell'Economia;";"b) Decreto del Ministro della Sanità ai sensi dell'art. 25 del D.P.R. 309 del 1990;";"c) Concessione del Ministro delle Infrastrutture e dei Trasporti;";"d) Atto d'imperio del Ministro dell'Interno;";2
L'associazione finalizzata allo spaccio di sostanze stupefacenti di lieve entità, di cui all'art. 74 comma 6 del D.P.R. 309 del 1990:;"a) Costituisce un'attenuante della fattispecie principale;";"b) Rappresenta una mera attenuante della fattispecie principale;";"c) Costituisce una fattispecie autonoma di reato, giusta Sentenza nr. 34475 del 2011 della Corte di Cassazione - Sezioni Unite;";"d) Rappresenta una causa di esclusione del reato;";3
Quale reato prevede l'art. 73 del D.P.R. 309 del 1990?;"a) Vendita di
anabolizzanti a minorenni;";"b) Spaccio di stupefacenti perpetrato da gruppi armati;";"c) Produzione, traffico e detenzione illecita di sostanze stupefacenti o psicotrope;";"d) Cessione di doping ad atleti;";3
Quali Autorità procedono al pagamento delle spese necessarie o utili per la conservazione e l'amministrazione dei beni, oggetto di congelamento, ai sensi dell'art. 12 comma 8 del D.Lgs. 109 del 2007?;"a) L'Agenzia delle Dogane
e dei Monopoli;";"b) La Procura della Repubblica territorialmente competente;";"c) L'Agenzia del Demanio, ovvero l'Amministratore, mediante prelevamento dalle somme riscosse, a qualunque titolo, dalle attività da loro svolte di gestione degli stessi beni;";"d) La Sezioni Giurisdizionale per la Regione Lazio della Corte dei Conti;";3
L'art. 74 comma 3 del D.P.R. 309 del 1990 prevede:;"a) La riduzione della pena nei casi in cui l'associazione finalizzata al traffico illecito di sostanze stupefacenti;";"b) L'aumento della pena nei casi in cui l'associazione finalizzata al traffico illecito di sostanze stupefacenti o psicotrope sia composta da dieci o più persone ovvero se nella medesima vi siano membri dediti all'uso di droghe;";"c) Le circostanze attenuanti per i soggetti, affetti da infermità mentale, che partecipano all'associazione finalizzata al traffico illecito di sostanze stupefacenti;";d) La recidiva per la partecipazione ad associazione di stampo terroristico.;2
